SEASON,TEAM,ACTUAL_WINS,SIM_ALL_WINS,ERR_ALL,SIM_NOTANK_WINS,ERR_NOTANK
2016-17,GSW,67,65.447,1.5529999999999973,64.745,2.2549999999999955
2016-17,SAS,61,60.003,0.997,60.311,0.6890000000000001
2016-17,CLE,51,52.509,1.5090000000000003,52.043,1.0429999999999993
2016-17,LAC,51,51.774,0.7740000000000009,51.682,0.6820000000000022
2016-17,HOU,55,51.244,3.756,51.285,3.7150000000000034
2016-17,TOR,51,50.005,0.9949999999999974,49.932,1.0679999999999978
2016-17,BOS,53,49.911,3.088999999999998,49.629,3.371000000000002
2016-17,UTA,51,48.372,2.628,48.261,2.738999999999997
2016-17,WAS,49,46.953,2.046999999999997,47.266,1.7340000000000018
2016-17,CHA,36,46.234,10.234000000000002,45.077,9.076999999999998
2016-17,OKC,47,45.214,1.7860000000000014,45.54,1.4600000000000009
2016-17,IND,42,43.106,1.1060000000000016,42.884,0.8840000000000003
2016-17,MIA,41,42.815,1.8149999999999975,43.006,2.006
2016-17,ATL,43,42.512,0.4879999999999995,42.391,0.6090000000000018
2016-17,MIL,42,41.926,0.073999999999998,41.864,0.1360000000000027
2016-17,MEM,43,41.649,1.350999999999999,41.661,1.3389999999999986
2016-17,DET,37,40.605,3.604999999999997,41.141,4.140999999999998
2016-17,POR,41,40.256,0.7439999999999998,39.802,1.1980000000000004
2016-17,CHI,41,40.226,0.7740000000000009,40.289,0.7109999999999985
2016-17,MIN,31,38.205,7.204999999999998,38.02,7.020000000000003
2016-17,DEN,40,37.522,2.478000000000001,37.786,2.213999999999998
2016-17,DAL,33,36.799,3.799,36.565,3.5649999999999977
2016-17,SAC,32,34.226,2.225999999999999,33.87,1.8699999999999972
2016-17,NYK,31,32.073,1.0730000000000004,32.55,1.5499999999999972
2016-17,NOP,34,30.592,3.4080000000000013,30.387,3.613
2016-17,ORL,29,30.455,1.4549999999999983,31.201,2.2010000000000005
2016-17,LAL,26,24.122,1.878,24.941,1.059000000000001
2016-17,PHI,28,23.016,4.984000000000002,23.429,4.5710000000000015
2016-17,PHX,24,22.98,1.0199999999999996,22.344,1.6559999999999988
2016-17,BKN,20,19.249,0.7510000000000012,20.098,0.0979999999999989
2017-18,GSW,58,61.323,3.3230000000000004,61.069,3.0690000000000026
2017-18,TOR,59,54.134,4.866,54.245,4.755000000000003
2017-18,HOU,65,52.041,12.959000000000003,51.051,13.948999999999998
2017-18,BOS,55,50.242,4.758000000000003,50.105,4.895000000000003
2017-18,SAS,47,46.348,0.652000000000001,45.889,1.110999999999997
